frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,right_ankle_angle,left_ankle_angle,back_angle,neck_angle,symmetry_diff,stance_width,phase,exc_type,form,accuracy,correction_needed
11,172.6562503119127,170.70509778625123,53.89869759814663,48.61718914110845,172.78083550261312,172.61958315087548,169.52589008547193,165.1883208432872,105.36979934264802,108.48232616943419,60.20378987716619,76.10838934811406,2.968801880681636,0.024651738023600947,end,pushup,good,93,None
12,172.38685215650634,173.38836622223744,54.291206001923776,49.394214855805416,172.5778352071372,174.1783279882959,170.72350850389796,167.2120381588724,104.63651335104143,108.33323546256146,60.42779271497943,79.89413627937839,2.9414380899107515,0.025912582403792506,end,pushup,good,98,None
1,174.5778975429602,175.51447135707832,54.808289171351355,50.541727278975635,174.65395221672307,176.067038567631,171.72639145858832,168.6069039327365,105.07033891272278,108.4813982265165,59.29909814354382,82.06881142706465,2.6293537794094677,0.024342039159479138,start,pushup,good,95,None
2,174.19606608410558,173.99870229291653,53.84313091124303,48.77714945352708,177.75604518249105,178.11101499877878,172.6756170848499,169.16952101027636,103.45810855922507,107.39710624871132,58.73937240124356,76.09589308293917,2.6126817658505077,0.024826119118058824,start,pushup,good,92,None
3,157.92351677093598,159.27409678594304,45.37413616629375,41.38934319388357,179.67520551326808,178.01690788022754,171.6494981463521,171.98198573516953,98.19574510783562,103.54416898744152,61.30857403298814,51.58856938919953,2.534916417776226,0.02598915362900825,start,pushup,good,97,None
4,123.44140668686633,130.97461255406276,21.180953300154215,20.04578274144553,172.47763266255276,168.33217651476429,175.99886231655586,175.07350889342905,90.30037513013977,97.82682854028242,66.18183958515063,43.01498926625345,4.25312788139261,0.03827505772489125,start,pushup,good,95,None
5,84.26790334003647,85.36819535978572,12.012155715568433,17.243412224586418,168.69868254618203,164.82055041613188,173.8619082735041,175.44825731737066,81.45784875237318,90.00465016328158,71.71289559648267,70.13589849442283,4.068566222718468,0.04710370949663233,mid,pushup,good,96,None
6,66.59540890905811,65.152841771711,22.649507998779168,31.759659772389412,171.3744264602592,166.91495139320278,173.45318857033092,175.27625401919266,80.01637271946612,88.00209750608663,76.73121661251062,60.268803200877464,4.964196842699204,0.046900472416585605,mid,pushup,good,95,None
7,90.33527172959211,87.22194858924767,1.4560348802199288,8.80684607237316,178.50285544175824,174.25413301953796,169.27750481983136,169.03901559605953,84.86597669966838,90.0035576783401,75.43342274944641,55.256822433067555,4.017785391432301,0.042017342516086825,mid,pushup,good,100,None
8,117.19983788530801,115.76335027983166,23.14050582285271,13.85625639452931,173.8368973580552,178.9225394330002,170.64052639367134,167.36857928207127,91.97447814722993,95.9298455070962,73.26335215575968,39.156613314008574,4.6067387160422175,0.04060744807229906,mid,pushup,good,91,None
9,155.0346471617815,152.39128059422404,45.163982852787555,37.61291054602915,173.6087214993931,178.44851626159382,167.9375497596777,163.677004463388,99.09242234696633,101.86896160291383,63.98212312892698,73.2951802155046,4.4142636377507545,0.03269505585110546,end,pushup,good,92,None
10,165.75465790889527,166.45466395076383,49.404352887582895,46.0147617904799,174.24636749583416,175.98555630066804,169.65182443867405,164.5786701446417,101.44285641863932,106.18486468505476,60.39495264782004,84.7324051345129,3.1287897008506436,0.03127075821620287,end,pushup,good,90,None
11,170.1235353417289,169.62471456052896,49.891286070778186,46.023924782299915,177.80704178897128,178.53536978390574,171.52617126766324,166.5075360761425,101.68284221289446,105.45961725494108,57.80797091297169,83.30847501466525,2.777984059636013,0.029577277350948505,end,pushup,good,99,None
12,170.35614048639977,172.58985622006026,50.291433659395786,47.18799881050412,178.98271934490924,179.9906440427252,174.26904717455488,169.33106572414954,103.16582452913485,105.63672380983232,57.94794705031548,85.55956878198782,2.7507912022941836,0.027715083346622416,end,pushup,good,93,None
